,Title,Release Year,Genre,Stream Platforms,Links,Duration,Age Rating,Production Country,IMDB,Category
80, Panchayat , (2020) ,"Comedy, Drama",Amazon Prime Video,https://www.justwatch.com/in/tv-show/panchayat,35min,,India, 9.0  (93k) ,tv
81, Heeramandi: The Diamond Bazaar , (2024) ,"Drama, History, Romance, War & Military",Netflix,https://www.justwatch.com/in/tv-show/heeramandi,54min,,India, 6.4  (26k) ,tv
82, Gullak , (2019) ,"Kids & Family, Comedy, Drama",Sony Liv,https://www.justwatch.com/in/tv-show/gullak,30min,,India, 9.1  (22k) ,tv
83, Mirzapur , (2018) ,"Crime, Action & Adventure, Drama, Mystery & Thriller",Amazon Prime Video,https://www.justwatch.com/in/tv-show/mirzapur,50min,,India, 8.5  (82k) ,tv
84, Bridgerton , (2020) ,"Drama, Romance",Netflix,https://www.justwatch.com/in/tv-show/bridgerton,1h 2min,A,United States, 7.4  (181k) ,tv
85, Shōgun , (2024) ,"War & Military, Drama, History",Hotstar,https://www.justwatch.com/in/tv-show/shogun-2024,59min,,United States, 8.7  (142k) ,tv
86, House of the Dragon , (2022) ,"Drama, Fantasy, Romance, Action & Adventure, Science-Fiction",Jio Cinema,https://www.justwatch.com/in/tv-show/house-of-the-dragon,58min,A,United States, 8.4  (388k) ,tv
87, Game of Thrones , (2011) ,"Action & Adventure, Drama, Fantasy, Science-Fiction",Jio Cinema,https://www.justwatch.com/in/tv-show/game-of-thrones,58min,A,"United States, United Kingdom", 9.2  (2m) ,tv
88, Raising Voices , (2024) ,Drama,Netflix,https://www.justwatch.com/in/tv-show/raising-voices,46min,,Spain, 7.2  (2k) ,tv
89, The Boys , (2019) ,"Science-Fiction, Action & Adventure, Comedy, Crime, Drama",Amazon Prime Video,https://www.justwatch.com/in/tv-show/the-boys,1h 1min,A,United States, 8.7  (668k) ,tv
90, Fallout , (2024) ,"Drama, Science-Fiction, War & Military, Action & Adventure, Mystery & Thriller",Amazon Prime Video,https://www.justwatch.com/in/tv-show/fallout,59min,A,United States, 8.4  (207k) ,tv
91, Demon Slayer: Kimetsu no Yaiba , (2019) ,"Animation, Action & Adventure, Science-Fiction, Fantasy, Mystery & Thriller",Crunchyroll,https://www.justwatch.com/in/tv-show/demon-slayer-kimetsu-no-yaiba,25min,,Japan, 8.6  (151k) ,tv
92, Murder in Mahim , (2024) ,Crime,Jio Cinema,https://www.justwatch.com/in/tv-show/murder-in-mahim,43min,,India, 7.8  (19k) ,tv
93, Apharan , (2018) ,"Drama, Action & Adventure, Crime, Mystery & Thriller",Jio Cinema,https://www.justwatch.com/in/tv-show/apharan,24min,,India, 8.2  (19k) ,tv
94, 3 Body Problem , (2024) ,"Science-Fiction, Drama, Fantasy",Netflix,https://www.justwatch.com/in/tv-show/3-body-problem,56min,A,United States, 7.5  (123k) ,tv
95, Sunflower , (2021) ,"Comedy, Crime",Zee5,https://www.justwatch.com/in/tv-show/sunflower-2021,38min,A,India, 7.4  (24k) ,tv
96, Eric , (2024) ,"Crime, Drama, Mystery & Thriller",Netflix,https://www.justwatch.com/in/tv-show/eric,53min,,"United States, United Kingdom", 7.0  (12k) ,tv
97, Maxton Hall: The World Between Us , (2024) ,"Drama, Romance",Amazon Prime Video,https://www.justwatch.com/in/tv-show/maxton-hall-the-world-between-us,45min,,Germany, 7.6  (9k) ,tv
98, The 8 Show , (2024) ,"Drama, Mystery & Thriller, Comedy",Netflix,https://www.justwatch.com/in/tv-show/the-8-show,52min,,South Korea, 7.2  (7k) ,tv
99, Dark Matter , (2024) ,"Science-Fiction, Mystery & Thriller, Drama",Apple TV Plus,https://www.justwatch.com/in/tv-show/dark-matter-2024,53min,A,United States, 7.7  (11k) ,tv
100, Aashram , (2020) ,"Crime, Drama, Mystery & Thriller",MX Player,https://www.justwatch.com/in/tv-show/aashram,43min,,India, 7.4  (32k) ,tv
101, Farzi , (2023) ,"Crime, Drama, Mystery & Thriller",Amazon Prime Video,https://www.justwatch.com/in/tv-show/farzi,56min,,India, 8.4  (46k) ,tv
102, The Good Doctor , (2017) ,Drama,Amazon Prime Video,https://www.justwatch.com/in/tv-show/the-good-doctor,43min,U,United States, 8.0  (115k) ,tv
103, Attack on Titan , (2013) ,"Horror, Animation, Action & Adventure, Drama, Fantasy, Science-Fiction",Amazon Prime Video,https://www.justwatch.com/in/tv-show/attack-on-titan,25min,UA,Japan, 9.0  (325k) ,tv
104, The Family Man , (2019) ,"Action & Adventure, Comedy, Drama",Amazon Prime Video,https://www.justwatch.com/in/tv-show/the-family-man,45min,,India, 8.7  (99k) ,tv
105, Young Sheldon , (2017) ,"Comedy, Kids & Family",Amazon Prime Video,https://www.justwatch.com/in/tv-show/young-sheldon,19min,U,United States, 7.7  (110k) ,tv
106, Jurassic World: Chaos Theory , (2024) ,"Animation, Action & Adventure, Kids & Family, Science-Fiction",Netflix,https://www.justwatch.com/in/tv-show/jurassic-world-chaos-theory,24min,,United States, 7.6  (1k) ,tv
107, The Great Indian Kapil Show , (2024) ,Comedy,Netflix,https://www.justwatch.com/in/tv-show/untitled-kapil-sharma-netflix-project,54min,,India, 6.7  (25k) ,tv
108, Jujutsu Kaisen , (2020) ,"Animation, Action & Adventure, Fantasy, Mystery & Thriller, Science-Fiction",Crunchyroll,https://www.justwatch.com/in/tv-show/jujutsu-kaisen,24min,,"Japan, United States", 8.6  (120k) ,tv
109, Reacher , (2022) ,"Action & Adventure, Crime, Drama, Mystery & Thriller",Amazon Prime Video,https://www.justwatch.com/in/tv-show/jack-reacher,48min,A,United States, 8.1  (216k) ,tv
110, Peaky Blinders , (2013) ,"Drama, Crime",Netflix,https://www.justwatch.com/in/tv-show/peaky-blinders,58min,A,United Kingdom, 8.8  (657k) ,tv
111, From , (2022) ,"Science-Fiction, Mystery & Thriller, Drama, Horror",,https://www.justwatch.com/in/tv-show/from,50min,,United States,,tv
112, Asur: Welcome to Your Dark Side , (2020) ,"Crime, Drama, Mystery & Thriller",Jio Cinema,https://www.justwatch.com/in/tv-show/asur,47min,,India, 8.5  (65k) ,tv
113, True Detective , (2014) ,"Drama, Crime, Mystery & Thriller",Jio Cinema,https://www.justwatch.com/in/tv-show/true-detective,1h 1min,U,United States, 8.9  (661k) ,tv
114, The Legend of Hanuman , (2021) ,"Animation, Action & Adventure, Kids & Family, Fantasy",Hotstar,https://www.justwatch.com/in/tv-show/the-legend-of-hanuman,21min,,India, 9.1  (12k) ,tv
115, MTV Splitsvilla , (2008) ,"Reality TV, Romance",Jio Cinema,https://www.justwatch.com/in/tv-show/mtv-splitsvilla,44min,U,India, 3.8  ,tv
116, Undekhi , (2020) ,"Crime, Drama",Sony Liv,https://www.justwatch.com/in/tv-show/undekhi,35min,A,India,,tv
117, Mastram , (2020) ,"Drama, Comedy, Fantasy",,https://www.justwatch.com/in/tv-show/mastram,28min,,India, 6.9  (2k) ,tv
118, The Acolyte , (2024) ,"Mystery & Thriller, Science-Fiction, Action & Adventure, Drama, Fantasy",Hotstar,https://www.justwatch.com/in/tv-show/the-acolyte,41min,,United States, 3.5  (50k) ,tv
119, Breaking Bad , (2008) ,"Drama, Crime, Mystery & Thriller",Netflix,https://www.justwatch.com/in/tv-show/breaking-bad,47min,U,United States, 9.5  (2m) ,tv
120, Euphoria , (2019) ,Drama,Jio Cinema,https://www.justwatch.com/in/tv-show/euphoria,58min,A,United States, 8.3  (246k) ,tv
121, The Last of Us , (2023) ,"Drama, Science-Fiction, Mystery & Thriller, Action & Adventure, Horror",Jio Cinema,https://www.justwatch.com/in/tv-show/the-last-of-us,58min,A,United States, 8.7  (539k) ,tv
122, Dehati Ladke , (2023) ,Drama,Amazon miniTV,https://www.justwatch.com/in/tv-show/dehati-ladke,24min,,India, 7.2  ,tv
123, Money Heist , (2017) ,"Mystery & Thriller, Action & Adventure, Crime, Drama, Made in Europe",Netflix,https://www.justwatch.com/in/tv-show/paperhouse,50min,,Spain, 8.2  (536k) ,tv
124, Gandii Baat , (2018) ,"Crime, Drama, Mystery & Thriller",Alt Balaji,https://www.justwatch.com/in/tv-show/gandii-baat,44min,A,India, 3.4  (3k) ,tv
125, Jamnapaar , (2024) ,Drama,Amazon miniTV,https://www.justwatch.com/in/tv-show/jamnapaar,32min,,India, 8.3  (2k) ,tv
126, Stranger Things , (2016) ,"Drama, Science-Fiction, Mystery & Thriller, Fantasy, Horror",Netflix,https://www.justwatch.com/in/tv-show/stranger-things,1h 1min,,United States, 8.7  (1m) ,tv
127, Naruto , (2002) ,"Science-Fiction, Animation, Action & Adventure, Comedy, Fantasy",Amazon Prime Video,https://www.justwatch.com/in/tv-show/naruto,23min,,Japan, 8.4  (129k) ,tv
128, Lucifer , (2016) ,"Crime, Science-Fiction, Drama, Fantasy",Netflix,https://www.justwatch.com/in/tv-show/lucifer,47min,U,United States, 8.1  (358k) ,tv
129, Scorpion , (2014) ,"Action & Adventure, Drama, Crime, Mystery & Thriller",,https://www.justwatch.com/in/tv-show/scorpion,42min,U,United States, 7.0  (59k) ,tv
130, The Rookie , (2018) ,"Crime, Drama, Comedy, Action & Adventure",,https://www.justwatch.com/in/tv-show/the-rookie,43min,,United States, 8.0  (75k) ,tv
131, College Romance , (2018) ,"Comedy, Drama, Romance",Sony Liv,https://www.justwatch.com/in/tv-show/college-romance,31min,A,India, 8.3  (28k) ,tv
132, Dark , (2017) ,"Crime, Drama, Science-Fiction, Mystery & Thriller",Netflix,https://www.justwatch.com/in/tv-show/dark,56min,,Germany, 8.7  (449k) ,tv
133, Dark Desire , (2020) ,"Mystery & Thriller, Drama",Netflix,https://www.justwatch.com/in/tv-show/dark-desire,34min,,Mexico, 6.5  (9k) ,tv
134, Paurashpur , (2020) ,Drama,Alt Balaji,https://www.justwatch.com/in/tv-show/paurashpur,25min,A,India, 3.7  (18k) ,tv
135, Naruto Shippūden , (2007) ,"Action & Adventure, Science-Fiction, Animation, Comedy, Drama, Fantasy",Crunchyroll,https://www.justwatch.com/in/tv-show/naruto-shippuden,24min,U,Japan, 8.7  (172k) ,tv
136, Mayfair Witches , (2023) ,"Drama, Science-Fiction, Fantasy, Horror",Amazon Prime Video,https://www.justwatch.com/in/tv-show/anne-rices-mayfair-witches,43min,,United States, 6.2  (12k) ,tv
137, Presumed Innocent , (2024) ,"Crime, Mystery & Thriller, Drama",Apple TV Plus,https://www.justwatch.com/in/tv-show/presumed-innocent,42min,A,United States, 7.6  (1k) ,tv
138, Luther , (2010) ,"Crime, Drama, Mystery & Thriller, Made in Europe",Amazon Prime Video,https://www.justwatch.com/in/tv-show/luther,58min,,United Kingdom, 8.4  (155k) ,tv
139, Scam 1992 , (2020) ,"Crime, Drama, Mystery & Thriller",Sony Liv,https://www.justwatch.com/in/tv-show/scam-1992,52min,,India, 9.3  (150k) ,tv
140, Paatal Lok , (2020) ,"Drama, Crime, Mystery & Thriller",Amazon Prime Video,https://www.justwatch.com/in/tv-show/paatal-lok,43min,A,India, 8.1  (65k) ,tv
141, Dead Boy Detectives , (2024) ,"Fantasy, Horror, Action & Adventure, Comedy, Crime, Drama, Mystery & Thriller, Science-Fiction",Netflix,https://www.justwatch.com/in/tv-show/dead-boy-detectives,54min,A,United States, 7.5  (14k) ,tv
142, Lost , (2004) ,"Action & Adventure, Science-Fiction, Mystery & Thriller, Drama, Fantasy",,https://www.justwatch.com/in/tv-show/lost,43min,U,United States, 8.3  (599k) ,tv
143, Modern Family , (2009) ,"Romance, Comedy, Drama",Hotstar,https://www.justwatch.com/in/tv-show/modern-family,21min,,United States, 8.5  (488k) ,tv
144," Illegal - Justice, Out of Order ", (2020) ,"Drama, Crime, Mystery & Thriller",Jio Cinema,https://www.justwatch.com/in/tv-show/illegal-justice-out-of-order,31min,,India, 6.9  (24k) ,tv
