,Title,Release Year,Genre,Stream Platforms,Links,Duration,Age Rating,Production Country,IMDB
63, 777 Charlie , (2022) ,"Action & Adventure, Comedy, Drama",Amazon Prime Video,https://www.justwatch.com/in/movie/777-charlie,2h 46min,UA,India, 8.7  (40k) 
64, Rise of the Planet of the Apes , (2011) ,"Science-Fiction, Mystery & Thriller, Action & Adventure, Drama",Apple TV,https://www.justwatch.com/in/movie/rise-of-the-planet-of-the-apes,1h 45min,,"United Kingdom, United States", 7.6  (574k) 
65, Ganapath , (2023) ,"Drama, Science-Fiction, Mystery & Thriller, Action & Adventure",,https://www.justwatch.com/in/movie/ganapath,2h 13min,UA,India, 2.9  (10k) 
66, The Ministry of Ungentlemanly Warfare , (2024) ,"Action & Adventure, Drama, War & Military",,https://www.justwatch.com/in/movie/the-ministry-of-ungentlemanly-warfare,2h 0min,,"United States, United Kingdom, Turkey", 6.9  (43k) 
67, Bramayugam , (2024) ,"Drama, Horror, Mystery & Thriller",Sony Liv,https://www.justwatch.com/in/movie/bramayugam,2h 19min,UA,India, 7.9  (9k) 
68, Romeo , (2024) ,"Comedy, Drama",Amazon Prime Video,https://www.justwatch.com/in/movie/romeo-2024,2h 26min,UA,India,
69, Sriranga Neethulu , (2024) ,Drama,Amazon Prime Video,https://www.justwatch.com/in/movie/sri-ranga-neethulu,2h 2min,,India, 8.4  (2k) 
70, The Judge , (2014) ,"Drama, Mystery & Thriller, Crime, Made in Europe",Apple TV,https://www.justwatch.com/in/movie/the-judge,2h 21min,A,United States, 7.4  (207k) 
71, My Fault , (2023) ,"Romance, Drama",Amazon Prime Video,https://www.justwatch.com/in/movie/culpa-mia,1h 57min,A,Spain, 6.2  (25k) 
72, The Beekeeper , (2024) ,"Action & Adventure, Crime, Mystery & Thriller",Lionsgate Play,https://www.justwatch.com/in/movie/the-beekeeper-2024,1h 45min,,"United Kingdom, United States", 6.4  (103k) 
73, Hridayam , (2022) ,"Romance, Drama",Hotstar,https://www.justwatch.com/in/movie/hridayam,2h 52min,U,India, 8.1  (15k) 
74, The Wolf of Wall Street , (2013) ,"Drama, Comedy, Crime",Lionsgate Play,https://www.justwatch.com/in/movie/the-wolf-of-wall-street,3h 0min,A,United States, 8.2  (1m) 
75, K.G.F: Chapter 1 , (2018) ,"Action & Adventure, Crime, Mystery & Thriller, Drama",Hotstar,https://www.justwatch.com/in/movie/k-g-f-chapter-1,2h 36min,UA,India, 8.2  (99k) 
76, Sam Bahadur , (2023) ,"Drama, War & Military",Zee5,https://www.justwatch.com/in/movie/sam-bahadur,2h 30min,UA,India, 7.7  (16k) 
77, Anatomy of a Fall , (2023) ,"Mystery & Thriller, Crime, Drama",Amazon Prime Video,https://www.justwatch.com/in/movie/anatomie-dune-chute,2h 32min,,France, 7.7  (134k) 
78, Dhoomam , (2023) ,"Mystery & Thriller, Drama, Action & Adventure",Apple TV,https://www.justwatch.com/in/movie/dhoomam,2h 23min,UA,India, 5.6  
79, Skanda: The Attacker , (2023) ,"Action & Adventure, Drama, Romance",Hotstar,https://www.justwatch.com/in/movie/boyapatirapo,2h 47min,UA,India, 4.2  (2k) 
